                   0clock=0,reset=0,enable_ex=x,src1=x,src2=x,imm=x,mem_data_read_in=x,control_in=x,mem_data_wr_en=x,mem_data_write_out=x,aluout=0,carry=0 
                  60clock=0,reset=1,enable_ex=1,src1=-1295874971,src2=-1992863214,imm=15983361,mem_data_read_in=x,control_in=10,mem_data_wr_en=0,mem_data_write_out=-1992863214,aluout=-1196830352,carry=1 
                  64clock=0,reset=1,enable_ex=1,src1=114806029,src2=992211318,imm=512609597,mem_data_read_in=x,control_in=11,mem_data_wr_en=0,mem_data_write_out=992211318,aluout=-1196830352,carry=1 
                  65clock=1,reset=1,enable_ex=1,src1=114806029,src2=992211318,imm=512609597,mem_data_read_in=x,control_in=11,mem_data_wr_en=0,mem_data_write_out=992211318,aluout=-1196830352,carry=1 
                  70clock=0,reset=1,enable_ex=1,src1=114806029,src2=992211318,imm=512609597,mem_data_read_in=x,control_in=11,mem_data_wr_en=0,mem_data_write_out=992211318,aluout=-1196830352,carry=1 
                  75clock=1,reset=1,enable_ex=1,src1=114806029,src2=992211318,imm=512609597,mem_data_read_in=x,control_in=11,mem_data_wr_en=0,mem_data_write_out=992211318,aluout=-1196830352,carry=1 
                  80clock=0,reset=1,enable_ex=1,src1=114806029,src2=992211318,imm=512609597,mem_data_read_in=x,control_in=11,mem_data_wr_en=0,mem_data_write_out=992211318,aluout=-1196830352,carry=1 
                  84clock=0,reset=1,enable_ex=1,src1=1993627629,src2=1177417612,imm=2097015289,mem_data_read_in=x,control_in=100,mem_data_wr_en=0,mem_data_write_out=1177417612,aluout=-1196830352,carry=1 
                  85clock=1,reset=1,enable_ex=1,src1=1993627629,src2=1177417612,imm=2097015289,mem_data_read_in=x,control_in=100,mem_data_wr_en=0,mem_data_write_out=1177417612,aluout=-1196830352,carry=1 
                  90clock=0,reset=1,enable_ex=1,src1=1993627629,src2=1177417612,imm=2097015289,mem_data_read_in=x,control_in=100,mem_data_wr_en=0,mem_data_write_out=1177417612,aluout=-1196830352,carry=1 
                  95clock=1,reset=1,enable_ex=1,src1=1993627629,src2=1177417612,imm=2097015289,mem_data_read_in=x,control_in=100,mem_data_wr_en=0,mem_data_write_out=1177417612,aluout=0,carry=0 
                 100clock=0,reset=1,enable_ex=1,src1=1993627629,src2=1177417612,imm=2097015289,mem_data_read_in=x,control_in=100,mem_data_wr_en=0,mem_data_write_out=1177417612,aluout=0,carry=0 
                 104clock=0,reset=1,enable_ex=1,src1=-482925370,src2=-487095099,imm=-720121174,mem_data_read_in=x,control_in=101,mem_data_wr_en=0,mem_data_write_out=-487095099,aluout=0,carry=0 
                 105clock=1,reset=1,enable_ex=1,src1=-482925370,src2=-487095099,imm=-720121174,mem_data_read_in=x,control_in=101,mem_data_wr_en=0,mem_data_write_out=-487095099,aluout=0,carry=0 
                 110clock=0,reset=1,enable_ex=1,src1=-482925370,src2=-487095099,imm=-720121174,mem_data_read_in=x,control_in=101,mem_data_wr_en=0,mem_data_write_out=-487095099,aluout=0,carry=0 
